lon;lat
10.584367;-84.655891
10.629550;-84.655547
10.674733;-84.655202
10.719916;-84.654854
10.765098;-84.654506
10.810281;-84.654155
10.855463;-84.653803
10.900646;-84.653450
10.945828;-84.653095
10.991010;-84.652738
11.036191;-84.652380
10.087017;-84.613980
10.132200;-84.613646
10.177383;-84.613311
10.222566;-84.612974
10.267749;-84.612636
10.312931;-84.612296
10.358114;-84.611955
10.403296;-84.611612
10.448478;-84.611267
10.493660;-84.610921
10.538842;-84.610574
10.584024;-84.610224
10.629205;-84.609874
10.674387;-84.609521
10.719568;-84.609167
10.764749;-84.608812
10.809930;-84.608454
10.855111;-84.608096
10.900292;-84.607735
10.945473;-84.607373
10.990653;-84.607010
11.035833;-84.606645
10.086684;-84.568386
10.131866;-84.568046
10.177047;-84.567704
10.222229;-84.567361
10.267410;-84.567017
10.312591;-84.566670
10.357772;-84.566322
10.402952;-84.565973
10.448133;-84.565622
10.493314;-84.565269
10.538494;-84.564915
10.583674;-84.564559
10.628854;-84.564201
10.674034;-84.563842
10.719214;-84.563481
10.764394;-84.563119
10.809573;-84.562755
10.854752;-84.562390
10.899932;-84.562022
10.945111;-84.561653
10.990290;-84.561283
11.035468;-84.560911
10.086345;-84.522794
10.131525;-84.522447
10.176705;-84.522099
10.221885;-84.521750
10.267064;-84.521399
10.312244;-84.521046
10.357423;-84.520692
10.402602;-84.520336
10.447781;-84.519978
10.492960;-84.519619
10.538139;-84.519258
10.583318;-84.518895
10.628496;-84.518531
10.673675;-84.518165
10.718853;-84.517797
10.764031;-84.517428
10.809209;-84.517057
10.854387;-84.516685
10.899564;-84.516311
10.944742;-84.515935
10.989919;-84.515558
11.035097;-84.515179
10.086000;-84.477203
10.131178;-84.476850
10.176356;-84.476496
10.221535;-84.476140
10.266713;-84.475782
10.311890;-84.475423
10.357068;-84.475062
10.402246;-84.474700
10.447423;-84.474336
10.492601;-84.473970
10.537778;-84.473602
10.582955;-84.473233
10.628132;-84.472862
10.673309;-84.472489
10.718485;-84.472115
10.763662;-84.471739
10.808838;-84.471362
10.854014;-84.470982
10.899191;-84.470601
10.944366;-84.470219
10.989542;-84.469834
11.034718;-84.469448
10.085648;-84.431614
10.130825;-84.431255
10.176001;-84.430894
10.221178;-84.430532
10.266354;-84.430168
10.311531;-84.429802
10.356707;-84.429435
10.401883;-84.429066
10.447059;-84.428695
10.492235;-84.428322
10.537410;-84.427948
10.582586;-84.427572
10.627761;-84.427195
10.672936;-84.426815
10.718111;-84.426434
10.763286;-84.426052
10.808461;-84.425667
10.853635;-84.425281
10.898810;-84.424893
10.943984;-84.424504
10.989158;-84.424113
11.034332;-84.423720
10.085290;-84.386027
10.130465;-84.385661
10.175640;-84.385294
10.220815;-84.384925
10.265990;-84.384555
10.311164;-84.384183
10.356339;-84.383809
10.401513;-84.383433
10.446688;-84.383056
10.491862;-84.382677
10.537036;-84.382296
10.582210;-84.381913
10.627383;-84.381529
10.672557;-84.381143
10.717730;-84.380755
10.762903;-84.380366
10.808076;-84.379975
10.853249;-84.379582
10.898422;-84.379187
10.943595;-84.378791
10.988767;-84.378392
11.033940;-84.377993
10.084925;-84.340441
10.130099;-84.340069
10.175272;-84.339696
10.220446;-84.339321
10.265619;-84.338944
10.310792;-84.338565
10.355965;-84.338185
10.401137;-84.337802
10.446310;-84.337419
10.491482;-84.337033
10.536655;-84.336645
10.581827;-84.336256
10.626999;-84.335865
10.672171;-84.335473
10.717342;-84.335078
10.762514;-84.334682
10.807685;-84.334284
10.852857;-84.333884
10.898028;-84.333482
10.943199;-84.333079
10.988370;-84.332674
11.033540;-84.332267
10.084555;-84.294857
10.129727;-84.294479
10.174898;-84.294099
10.220070;-84.293718
10.265241;-84.293334
10.310413;-84.292949
10.355584;-84.292562
10.400755;-84.292174
10.445926;-84.291783
10.491097;-84.291391
10.536267;-84.290997
10.581438;-84.290601
10.626608;-84.290203
10.671778;-84.289804
10.716948;-84.289403
10.762118;-84.289000
10.807288;-84.288595
10.852457;-84.288188
10.897627;-84.287780
10.942796;-84.287369
10.987965;-84.286957
11.033134;-84.286544
10.084178;-84.249275
10.129348;-84.248891
10.174518;-84.248504
10.219688;-84.248116
10.264858;-84.247727
10.310027;-84.247335
10.355197;-84.246942
10.400366;-84.246546
10.445535;-84.246149
10.490704;-84.245750
10.535873;-84.245350
10.581042;-84.244947
10.626210;-84.244543
10.671379;-84.244137
10.716547;-84.243729
10.761715;-84.243319
10.806883;-84.242907
10.852051;-84.242494
10.897219;-84.242079
10.942386;-84.241662
10.987554;-84.241243
11.032721;-84.240822
10.083795;-84.203695
10.128963;-84.203304
10.174131;-84.202911
10.219300;-84.202517
10.264468;-84.202121
10.309635;-84.201723
10.354803;-84.201323
10.399971;-84.200921
10.445138;-84.200517
10.490305;-84.200112
10.535472;-84.199705
10.580639;-84.199296
10.625806;-84.198885
10.670973;-84.198472
10.716139;-84.198057
10.761306;-84.197640
10.806472;-84.197222
10.851638;-84.196802
10.896804;-84.196380
10.941970;-84.195956
10.987136;-84.195530
11.032301;-84.195102
10.083405;-84.158116
10.128572;-84.157719
10.173739;-84.157320
10.218905;-84.156919
10.264071;-84.156517
